Strategy,Model,Tuning MSE,Train MSE,Test MSE,Train R2,Test R2,Train MAE,Test MAE
Strategy 4: Enchanced data with Quantile Binning,LinearRegression,2.4683283076066553,2.2060400487284626e-29,2.343072526404273,1.0,0.1517660318572055,3.685807408495489e-15,1.173393805368944
Strategy 4: Enchanced data with Quantile Binning,Ridge,2.4680008600972503,1.2969169206604356e-06,2.342665340302426,0.9999995132089834,0.15191344047518462,0.0009095751188548266,1.1732836990444573
Strategy 4: Enchanced data with Quantile Binning,Lasso,2.4238550308785616,2.3363065942367514,2.5566132582723196,0.12307947869243618,0.07446048526769411,1.24941632943934,1.240284683572853
Strategy 4: Enchanced data with Quantile Binning,ElasticNet,2.2516290619854056,1.5090252828576323,2.2207318946813057,0.4335952134988874,0.19605551856409864,0.9835191212704685,1.1465337991132316
Strategy 4: Enchanced data with Quantile Binning,DecisionTreeRegressor,2.5791064567755866,2.0765864077709177,2.847650643102755,0.2205640990207547,-0.030900229362625042,1.1545189909838427,1.2847030325947348
Strategy 4: Enchanced data with Quantile Binning,RandomForestRegressor,2.2241604933152117,0.3051751297106926,2.308454044873105,0.8854541032858614,0.16429853848230946,0.43465603985984674,1.1813760932214092
Strategy 4: Enchanced data with Quantile Binning,ExtraTreesRegressor,2.1897225265276132,1.1340006878587801e-12,2.250587003623581,0.9999999999995743,0.18524743761822016,9.657488228443998e-08,1.1619881726300783
Strategy 4: Enchanced data with Quantile Binning,GradientBoostingRegressor,2.2092683618577054,0.5531594316713657,2.266166452907036,0.7923744861294972,0.17960739961757632,0.6047507616393007,1.167070605512753
Strategy 4: Enchanced data with Quantile Binning,AdaBoostRegressor,2.2065297085120266,0.782098566342334,2.129587612360364,0.7064433733985696,0.22905137140065757,0.7779750921270472,1.1521689577543512
Strategy 4: Enchanced data with Quantile Binning,BaggingRegressor,2.2237352667076067,0.30315727932980574,2.239221138827531,0.8862114929248296,0.18936208302022284,0.4356213861508567,1.170325721504113
Strategy 4: Enchanced data with Quantile Binning,HistGradientBoostingRegressor,2.193020120356551,0.001899679665403312,2.2866410967927093,0.9992869651240928,0.17219521402206361,0.010071576338878516,1.1484875397338303
Strategy 4: Enchanced data with Quantile Binning,SVR,2.677773988748211,0.017491346522972708,2.786331694070533,0.9934347141128078,-0.00870167815526357,0.10553814379806462,1.3086299511177433
Strategy 4: Enchanced data with Quantile Binning,KNeighborsRegressor,2.417550043928031,0.0,2.1488264399697785,1.0,0.22208657329831616,0.0,1.1195479871980758
Strategy 4: Enchanced data with Quantile Binning,CatBoostRegressor,2.1727979768068275,0.0009321388316398652,2.1747958609697524,0.9996501265406736,0.21268518056422803,0.025350978362600998,1.1337552353754743
Strategy 3: Enchanced data with Dimensionality reduction,LinearRegression,8.950696135965723,0.3468806197748031,4.056310959284168,0.8698001646381579,-0.46845678152988524,0.42342490256175475,1.3734261334893851
Strategy 3: Enchanced data with Dimensionality reduction,Ridge,2.4141851219798918,0.4190774577233671,2.302154810079879,0.8427014572481308,0.1665789736223693,0.47872391186313795,1.172918426272539
Strategy 3: Enchanced data with Dimensionality reduction,Lasso,2.2213795606677897,1.5892354335773895,2.2332484049418695,0.40348875086387237,0.19152431901906752,0.993090210545691,1.1528627442623596
Strategy 3: Enchanced data with Dimensionality reduction,ElasticNet,2.2099037732359035,1.1591859295250095,2.172341932030638,0.5649055941035215,0.21357354652734217,0.8478149241690549,1.1424731838824718
Strategy 3: Enchanced data with Dimensionality reduction,DecisionTreeRegressor,2.686537305622738,2.2792745193868553,2.495366403715595,0.144486171175347,0.09663293699143183,1.2147698961964895,1.2056096326817003
Strategy 3: Enchanced data with Dimensionality reduction,RandomForestRegressor,2.3803833258611307,0.37015643333656095,2.2396711152587234,0.8610637091520565,0.18919918354122678,0.49041935263495945,1.1551538253710938
